Tipo,Data,Valor,Descrição,Categoria,Conta,Conta transferência
Despesa,01/04/2026,"-9,99",Café,Alimentação,Conta Corrente,
Despesa,01/04/2026,"-109,90",Internet,Moradia/Internet,Conta Corrente,
Despesa,01/04/2026,"-359,91",Roupas,Itens Pessoais,Conta Corrente,
Despesa,01/04/2026,"-780,50",Supermercado,Mercado / Almoço,Conta Corrente,
Pagamento,01/04/2026,"-950,00",Pagamento cartão,Pagamento de cartão,Conta Corrente,Cartão Crédito
Transferência,01/04/2026,"-200,00",Reserva de emergência,Transferência,Conta Emergência,Conta Corrente
Despesa,05/04/2026,"-2000,00",Aluguel,Moradia/Aluguel,Conta Corrente,
Despesa,05/04/2026,"-660,50",Plano de saúde,Saúde/Plano de saúde,Conta Corrente,
Receita,05/04/2026,"5000,00",Salário,Renda/Salário,Conta Corrente,
Transferência,05/04/2026,"-400,00",Transferência interna,Transferência,Conta Corrente,Conta Poupança
